# ----------------------------------------
# JewelMint + subdomains
# Landing Pages
# 20130616-20130723
# ----------------------------------------

Landing Page,Visits,Pages / Visit,Avg. Visit Duration,% New Visits,Bounce Rate
www.jewelmint.com/jewelry/love-rings?aid=1$fb$p481$c871$2825,45,1.33,00:00:04,100.00%,66.67%
www.jewelmint.com/jewelry/matchmaker-rings,45,2.31,00:00:31,100.00%,55.56%
www.jewelmint.com/jewelry/rose-gold-wishbone-necklace,45,1.11,00:00:02,100.00%,88.89%
www.jewelmint.com/jewelry/starstruck-ring,45,1.11,00:00:03,100.00%,88.89%
www.jewelmint.com/jewelry/the-laura-bracelet?aid=1$fb$p475$c1832$4356,45,2.42,00:00:24,100.00%,66.67%
www.jewelmint.com/jewelry/tiny-rose-gold-anchor-necklace?aid=1$fb$p481$c871$2825,45,1.22,00:00:15,100.00%,88.89%
www.jewelmint.com/pages/jm-categories-allinone?view=necklaces&filter=show_all&redir_ct=1,45,1.78,00:00:27,100.00%,88.89%
www.jewelmint.com/pages/jm-giving-back,45,1.56,00:00:17,100.00%,66.67%
www.jewelmint.com/rewards?aid=1$internal-email$p940$c3949$8819,45,4.09,00:02:03,100.00%,22.22%
start.jewelmint.com/8moms/?transaction_id=1006817476976111010&aid=1$aff$p505$c956$3272,40,1.12,00:00:04,100.00%,87.50%
start.jewelmint.com/jm-friendship,40,2.48,00:00:29,100.00%,0.00%
start.jewelmint.com/k/fbbib/product/12668?back_btn=shop>bracelet,40,1.62,00:00:23,100.00%,75.00%
start.jewelmint.com/k/fbbib/product/12672?back_btn=shop>bracelet,40,1.50,00:00:13,100.00%,75.00%
start.jewelmint.com/k/fbbib/product/411,40,2.48,00:00:54,100.00%,62.50%
start.jewelmint.com/k/fbbib/product/4423?back_btn=shop>other,40,2.10,00:02:15,100.00%,37.50%
